userId,age,ageGroup,gender,occupation,city,state,movieTitle,genres,cast,director,rating,likeDislike,timestamp
52,18,18-24,F,student,Saint paul,Minnesota,Sense and Sensibility (1995),Drama|Romance,James Fleet|Kate Winslet|Tom Wilkinson|Harriet Walter,Ang Lee,4,like,1997-12-24 00:12:08
276,21,18-24,M,student,Santa cruz,California,Taxi Driver (1976),Drama|Thriller,Diahnne Abbott|Gino Ardito|Frank Adu|Victor Argo,Martin Scorsese,5,like,1997-09-20 20:31:07
911,37,35-44,F,writer,Milwaukee,Wisconsin,Muppet Treasure Island (1996),Action|Adventure|Comedy|Musical|Thriller,Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop,Brian Henson,4,like,1998-04-17 19:09:04
542,21,18-24,M,student,Downers grove,Illinois,Flirting With Disaster (1996),Comedy,Mary Tyler Moore|Téa Leoni|Patricia Arquette|Ben Stiller,David O. Russell,4,like,1998-02-03 19:06:58
269,31,25-34,F,librarian,Columbus,Ohio,Don Juan DeMarco (1995),Comedy|Drama|Romance,Johnny Depp|Marlon Brando|Faye Dunaway|Géraldine Pailhas,Jeremy Leven,3,dislike,1998-04-01 16:35:47
777,63,55-64,M,programmer,Andover,Massachusetts,Dead Man Walking (1995),Drama,Susan Sarandon|Raymond J. Barry|Robert Prosky|Sean Penn,Tim Robbins,5,like,1997-10-04 15:36:20
18,35,35-44,F,other,Nashville,Tennessee,Miracle on 34th Street (1994),Drama,Richard Attenborough|J.T. Walsh|Dylan McDermott|Elizabeth Perkins,Les Mayfield,3,dislike,1997-11-21 17:03:24
504,40,35-44,F,writer,San diego,California,Boys on the Side (1995),Comedy|Drama,Whoopi Goldberg|Drew Barrymore|Mary-Louise Parker|Matthew McConaughey,Herbert Ross,4,like,1998-02-19 17:54:56
301,24,18-24,M,student,Edina,Minnesota,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Takeshi Kitano|Keanu Reeves|Ice-T|Dina Meyer,Robert Longo,2,dislike,1997-12-14 06:00:56
185,53,45-54,F,librarian,Eugene,Oregon,Taxi Driver (1976),Drama|Thriller,Diahnne Abbott|Gino Ardito|Frank Adu|Victor Argo,Martin Scorsese,4,like,1997-12-30 23:24:09
244,28,25-34,M,technician,Fort collins,Colorado,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis,Robert Rodriguez,2,dislike,1997-11-27 05:06:45
280,30,25-34,F,librarian,University,Virginia,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Takeshi Kitano|Keanu Reeves|Ice-T|Dina Meyer,Robert Longo,3,dislike,1998-04-04 15:02:02
883,49,45-54,M,librarian,West des moines,Iowa,Forget Paris (1995),Comedy|Romance,Billy Crystal|Joe Mantegna|Debra Winger|Cynthia Stevenson,Billy Crystal,3,dislike,1998-04-04 12:56:43
130,20,18-24,M,none,De kalb,Illinois,White Man's Burden (1995),Drama,Harry Belafonte|John Travolta|Kelly Lynch|Margaret Avery,Desmond Nakano,4,like,1998-02-23 05:32:10
479,30,25-34,M,educator,Minneapolis,Minnesota,Braveheart (1995),Action|Drama|War,James Robinson|Sandy Nelson|Sean Lawlor|James Cosmo,Mel Gibson,4,like,1997-11-13 22:48:00
239,39,35-44,M,artist,Fair oaks,California,Pulp Fiction (1994),Crime|Drama,Tim Roth|John Travolta|Laura Lovelace|Samuel L. Jackson,Quentin Tarantino,4,like,1998-03-06 10:17:58
87,47,45-54,M,administrator,Reno,Nevada,Down Periscope (1996),Comedy,Lauren Holly|Kelsey Grammer|Harry Dean Stanton|Rob Schneider,David S. Ward,4,like,1997-11-18 18:17:23
477,23,18-24,F,student,Dorchester,Massachusetts,Don Juan DeMarco (1995),Comedy|Drama|Romance,Johnny Depp|Marlon Brando|Faye Dunaway|Géraldine Pailhas,Jeremy Leven,4,like,1997-10-04 04:59:51
896,28,25-34,M,writer,Burbank,California,Sense and Sensibility (1995),Drama|Romance,James Fleet|Kate Winslet|Tom Wilkinson|Harriet Walter,Ang Lee,4,like,1998-02-11 00:58:33
256,35,35-44,F,none,Brandon,Mississippi,Waterworld (1995),Action|Adventure,Kevin Costner|R.D. Call|Rick Aviles|Chaim Jeraffi,Kevin Reynolds,4,like,1997-12-15 05:44:04
378,35,35-44,M,student,Pascoag,Rhode island,Dolores Claiborne (1994),Drama|Thriller,Kathy Bates|Judy Parfitt|Christopher Plummer|Jennifer Jason Leigh,Taylor Hackford,3,dislike,1997-11-20 19:43:57
303,19,18-24,M,student,Unknown,Unknown,"Basketball Diaries, The (1995)",Drama,Leonardo DiCaprio|Marilyn Sokol|Lorraine Bracco|James Madio,Scott Kalvert,3,dislike,1997-11-14 05:22:28
423,64,55-64,M,other,North hollywood,California,Leaving Las Vegas (1995),Drama|Romance,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis,Mike Figgis,5,like,1998-04-01 01:53:22
221,19,18-24,M,student,Saint leonard,Maryland,Die Hard: With a Vengeance (1995),Action|Thriller,Bruce Willis|Samuel L. Jackson|Jeremy Irons|Graham Greene,John McTiernan,4,like,1997-09-26 03:56:23
880,13,Under 18,M,student,Boise,Idaho,Braveheart (1995),Action|Drama|War,James Robinson|Sandy Nelson|Sean Lawlor|James Cosmo,Mel Gibson,4,like,1997-11-22 03:01:35
262,19,18-24,F,student,San antonio,Texas,Mr. Wrong (1996),Comedy,Dean Stockwell|Joan Cusack|Bill Pullman|Ellen DeGeneres,Nick Castle,2,dislike,1997-11-17 18:32:16
761,17,Under 18,M,student,Salem,Oregon,Nixon (1995),Drama,Ed Harris|Anthony Hopkins|Powers Boothe|Joan Allen,Oliver Stone,1,dislike,1997-10-07 02:17:03
62,27,25-34,F,administrator,Portland,Oregon,Mighty Aphrodite (1995),Comedy,Woody Allen|Mira Sorvino|Rene Ceballos|George De La Pena,Woody Allen,4,like,1997-11-12 22:10:34
7,57,55-64,M,administrator,Granada hills,California,Money Train (1995),Action,Wesley Snipes|Robert Blake|Woody Harrelson|Jennifer Lopez,Joseph Ruben,3,dislike,1998-04-09 14:42:52
87,47,45-54,M,administrator,Reno,Nevada,Pulp Fiction (1994),Crime|Drama,Tim Roth|John Travolta|Laura Lovelace|Samuel L. Jackson,Quentin Tarantino,4,like,1997-11-18 18:08:44
405,22,18-24,F,healthcare,New york,New york,Mad Love (1995),Drama|Romance,Chris O'Donnell|Richard Chaim|Drew Barrymore|Matthew Lillard,Antonia Bird,2,dislike,1998-01-23 09:14:19
174,30,25-34,F,administrator,Marion,Iowa,Circle of Friends (1995),Drama|Romance,Chris O'Donnell|Saffron Burrows|Minnie Driver|Geraldine O'Rawe,Pat O'Connor,5,like,1998-02-02 20:59:29
460,44,35-44,F,other,Chicago,Illinois,Leaving Las Vegas (1995),Drama|Romance,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis,Mike Figgis,5,like,1997-12-23 21:26:58
23,30,25-34,F,artist,Ypsilanti,Michigan,Babe (1995),Children|Comedy|Drama,Hugo Weaving|Christine Cavanaugh|Danny Mann|Miriam Margolyes,Chris Noonan,4,like,1997-09-20 19:57:54
64,32,25-34,M,educator,Columbus,Ohio,Braveheart (1995),Action|Drama|War,James Robinson|Sandy Nelson|Sean Lawlor|James Cosmo,Mel Gibson,4,like,1998-03-12 21:16:16
614,54,45-54,M,educator,Denver,Colorado,Toy Story (1995),Animation|Children|Comedy,Jim Varney|Tim Allen|Tom Hanks|Don Rickles,John Lasseter,5,like,1997-11-13 23:34:53
711,22,18-24,F,student,Carson,Pennsylvania,Losing Isaiah (1995),Drama,Jessica Lange|Cuba Gooding Jr.|David Strathairn|Halle Berry,Stephen Gyllenhaal,3,dislike,1997-11-20 02:46:37
13,47,45-54,M,educator,Columbia,South carolina,GoldenEye (1995),Action|Adventure|Thriller,Pierce Brosnan|Famke Janssen|Sean Bean|Izabella Scorupco,Martin Campbell,3,dislike,1997-12-17 22:27:30
92,32,25-34,M,entertainment,Fort collins,Colorado,Get Shorty (1995),Action|Comedy|Drama,Danny DeVito|Gene Hackman|Rene Russo|John Travolta,Barry Sonnenfeld,4,like,1997-09-30 21:17:02
393,19,18-24,M,student,Nampa,Idaho,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Takeshi Kitano|Keanu Reeves|Ice-T|Dina Meyer,Robert Longo,3,dislike,1998-03-12 19:43:13
230,28,25-34,F,student,Kendall,New york,Richard III (1995),Drama|War,Ian McKellen|Jim Broadbent|Annette Bening|Robert Downey Jr.,Richard Loncraine,3,dislike,1997-11-25 19:18:50
487,22,18-24,M,engineer,San diego,California,Dangerous Minds (1995),Drama,Michelle Pfeiffer|Robin Bartlett|George Dzundza|Courtney B. Vance,John N. Smith,3,dislike,1997-12-31 01:15:29
634,39,35-44,M,engineer,Unknown,Unknown,Beautiful Girls (1996),Drama,Annabeth Gish|Matt Dillon|Lauren Holly|Noah Emmerich,Ted Demme,3,dislike,1997-11-17 17:27:47
528,18,18-24,M,student,Saint paul,Minnesota,Pulp Fiction (1994),Crime|Drama,Tim Roth|John Travolta|Laura Lovelace|Samuel L. Jackson,Quentin Tarantino,3,dislike,1998-01-29 19:17:08
639,42,35-44,F,librarian,Clifton park,New york,Circle of Friends (1995),Drama|Romance,Chris O'Donnell|Saffron Burrows|Minnie Driver|Geraldine O'Rawe,Pat O'Connor,3,dislike,1998-03-30 06:33:01
658,33,25-34,M,programmer,Costa mesa,California,Kids (1995),Drama,Leo Fitzpatrick|Joseph Chan|Sarah Henderson|Justin Pierce,Larry Clark,3,dislike,1997-09-25 00:33:11
406,52,45-54,M,educator,Santa barbara,California,Hoop Dreams (1994),Documentary,Dick Vitale|Steve James|Arthur Agee|William Gates,Steve James,5,like,1997-11-17 18:53:31
671,21,18-24,M,programmer,Unknown,Unknown,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis,Robert Rodriguez,4,like,1997-12-31 05:41:29
314,20,18-24,F,student,Voorhees,New jersey,"Big Green, The (1995)",Children|Comedy,Olivia d'Abo|Jay O. Sanders|Steve Guttenberg|John Terry,Holly Goldberg Sloan,4,like,1997-10-26 18:42:34
311,32,25-34,M,technician,Norman,Oklahoma,"Shawshank Redemption, The (1994)",Drama,Tim Robbins|William Sadler|Bob Gunton|Morgan Freeman,Frank Darabont,5,like,1998-01-09 16:48:22
659,31,25-34,M,educator,Unknown,Unknown,"Shawshank Redemption, The (1994)",Drama,Tim Robbins|William Sadler|Bob Gunton|Morgan Freeman,Frank Darabont,4,like,1998-03-31 22:42:32
393,19,18-24,M,student,Nampa,Idaho,Bed of Roses (1996),Drama|Romance,Christian Slater|Mary Stuart Masterson|Josh Brolin|Pamela Adlon,Michael Goldenberg,4,like,1998-02-17 19:41:13
793,22,18-24,M,student,Tempe,Arizona,Nixon (1995),Drama,Ed Harris|Anthony Hopkins|Powers Boothe|Joan Allen,Oliver Stone,3,dislike,1997-09-24 12:30:43
397,17,Under 18,M,student,Chapel hill,North carolina,Babe (1995),Children|Comedy|Drama,Hugo Weaving|Christine Cavanaugh|Danny Mann|Miriam Margolyes,Chris Noonan,4,like,1998-01-21 02:31:53
894,47,45-54,M,educator,Stillwater,Oklahoma,Othello (1995),Drama,Irène Jacob|Laurence Fishburne|Kenneth Branagh|Nathaniel Parker,Oliver Parker,4,like,1997-11-25 00:02:57
6,42,35-44,M,executive,Seattle,Washington,"Secret of Roan Inish, The (1994)",Adventure,Pat Slowey|Dave Duffy|Declan Hannigan|Jeni Courtney,John Sayles,4,like,1997-12-31 20:55:13
109,29,25-34,M,other,Richfield,Minnesota,Dead Man Walking (1995),Drama,Susan Sarandon|Raymond J. Barry|Robert Prosky|Sean Penn,Tim Robbins,3,dislike,1997-11-26 17:16:47
429,27,25-34,M,student,Columbia,South carolina,Don Juan DeMarco (1995),Comedy|Drama|Romance,Johnny Depp|Marlon Brando|Faye Dunaway|Géraldine Pailhas,Jeremy Leven,3,dislike,1997-12-17 19:01:34
399,25,25-34,M,other,Redlands,California,Money Train (1995),Action,Wesley Snipes|Robert Blake|Woody Harrelson|Jennifer Lopez,Joseph Ruben,2,dislike,1997-12-17 08:52:02
663,26,25-34,M,other,Exton,Pennsylvania,Bottle Rocket (1996),Comedy,Owen Wilson|Luke Wilson|Ned Dowd|Shea Fowler,Wes Anderson,3,dislike,1998-03-10 01:16:02
437,27,25-34,F,other,Washington,District of columbia,Ed Wood (1994),Comedy|Drama,Sarah Jessica Parker|Martin Landau|Johnny Depp|Patricia Arquette,Tim Burton,4,like,1997-11-21 19:28:54
276,21,18-24,M,student,Santa cruz,California,"Santa Clause, The (1994)",Children|Comedy,Tim Allen|Wendy Crewson|Judge Reinhold|Eric Lloyd,John Pasquin,3,dislike,1997-09-20 21:49:28
267,23,18-24,M,engineer,Boise,Idaho,Pulp Fiction (1994),Crime|Drama,Tim Roth|John Travolta|Laura Lovelace|Samuel L. Jackson,Quentin Tarantino,5,like,1997-11-08 07:01:33
923,21,18-24,M,student,Unknown,Unknown,Grumpier Old Men (1995),Comedy|Romance,Walter Matthau|Ann-Margret|Jack Lemmon|Sophia Loren,Howard Deutch,4,like,1997-11-24 16:07:04
922,29,25-34,F,administrator,Crofton,Maryland,Father of the Bride Part II (1995),Comedy,Steve Martin|Kimberly Williams-Paisley|Diane Keaton|Martin Short,Charles Shyer,2,dislike,1998-04-01 18:26:25
864,27,25-34,M,programmer,Ballwin,Missouri,Ed Wood (1994),Comedy|Drama,Sarah Jessica Parker|Martin Landau|Johnny Depp|Patricia Arquette,Tim Burton,5,like,1998-03-03 01:11:42
11,39,35-44,F,other,Atlanta,Georgia,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Jean-Hugues Anglade|Isabelle Adjani|Vincent Perez|Daniel Auteuil,Patrice Chéreau,3,dislike,1998-04-06 23:12:15
328,51,45-54,M,administrator,Oakville,Connecticut,Babe (1995),Children|Comedy|Drama,Hugo Weaving|Christine Cavanaugh|Danny Mann|Miriam Margolyes,Chris Noonan,3,dislike,1998-01-17 14:23:38
397,17,Under 18,M,student,Chapel hill,North carolina,Casino (1995),Drama,Robert De Niro|Joe Pesci|Sharon Stone|James Woods,Martin Scorsese,4,like,1998-01-21 02:32:35
283,28,25-34,M,programmer,Minnetonka,Minnesota,Clerks (1994),Comedy,Jason Mewes|Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti,Kevin Smith,5,like,1997-11-12 01:32:13
754,59,55-64,F,librarian,Carbondale,Illinois,Dead Man Walking (1995),Drama,Susan Sarandon|Raymond J. Barry|Robert Prosky|Sean Penn,Tim Robbins,4,like,1997-11-13 20:07:06
880,13,Under 18,M,student,Boise,Idaho,Heat (1995),Action|Crime|Thriller,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight,Michael Mann,5,like,1997-11-22 02:46:10
243,33,25-34,M,educator,Evanston,Illinois,Apollo 13 (1995),Action|Drama|Thriller,Bill Paxton|Kevin Bacon|Tom Hanks|Gary Sinise,Ron Howard,4,like,1997-11-20 01:10:15
425,19,18-24,M,student,Unknown,Unknown,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis,Robert Rodriguez,4,like,1997-11-05 13:58:10
807,41,35-44,F,healthcare,China lake nwc,California,Little Women (1994),Drama,Gabriel Byrne|Winona Ryder|Samantha Mathis|Trini Alvarado,Gillian Armstrong,4,like,1998-04-14 04:35:15
393,19,18-24,M,student,Nampa,Idaho,Muppet Treasure Island (1996),Action|Adventure|Comedy|Musical|Thriller,Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop,Brian Henson,3,dislike,1998-02-17 19:46:05
141,49,45-54,M,programmer,Montgomery,Alabama,Eye for an Eye (1996),Drama|Thriller,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle,John Schlesinger,4,like,1998-01-12 06:08:20
125,30,25-34,M,lawyer,Arlington,Virginia,"Santa Clause, The (1994)",Children|Comedy,Tim Allen|Wendy Crewson|Judge Reinhold|Eric Lloyd,John Pasquin,3,dislike,1998-04-17 18:42:38
232,45,45-54,M,scientist,Fairbanks,Alaska,"Madness of King George, The (1994)",Drama,Nigel Hawthorne|Rupert Graves|Amanda Donohoe|Helen Mirren,Nicholas Hytner,5,like,1998-02-27 03:28:50
474,51,45-54,M,executive,Fresno,California,Braveheart (1995),Action|Drama|War,James Robinson|Sandy Nelson|Sean Lawlor|James Cosmo,Mel Gibson,4,like,1998-02-19 21:42:51
455,48,45-54,M,administrator,Boise,Idaho,Dead Man Walking (1995),Drama,Susan Sarandon|Raymond J. Barry|Robert Prosky|Sean Penn,Tim Robbins,4,like,1997-11-03 19:34:45
889,24,18-24,M,technician,Austin,Texas,Outbreak (1995),Action|Drama|Thriller,Dustin Hoffman|Rene Russo|Morgan Freeman|Kevin Spacey,Wolfgang Petersen,3,dislike,1997-11-22 07:13:35
393,19,18-24,M,student,Nampa,Idaho,Mallrats (1995),Comedy,Shannen Doherty|Jason Lee|Jeremy London|Claire Forlani,Kevin Smith,2,dislike,1998-03-12 18:38:50
500,28,25-34,M,administrator,Stanford,California,"Birdcage, The (1996)",Comedy,Nathan Lane|Dianne Wiest|Robin Williams|Gene Hackman,Mike Nichols,3,dislike,1998-01-03 22:15:55
365,29,25-34,M,lawyer,Washington,District of columbia,Toy Story (1995),Animation|Children|Comedy,Jim Varney|Tim Allen|Tom Hanks|Don Rickles,John Lasseter,4,like,1998-03-31 00:26:39
735,29,25-34,F,healthcare,Tucson,Arizona,Toy Story (1995),Animation|Children|Comedy,Jim Varney|Tim Allen|Tom Hanks|Don Rickles,John Lasseter,4,like,1997-10-12 23:26:36
603,21,18-24,M,programmer,Lafayette,Indiana,Heat (1995),Action|Crime|Thriller,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight,Michael Mann,1,dislike,1998-04-07 13:35:24
788,51,45-54,M,administrator,Unknown,Unknown,Get Shorty (1995),Action|Comedy|Drama,Danny DeVito|Gene Hackman|Rene Russo|John Travolta,Barry Sonnenfeld,3,dislike,1997-11-30 05:40:01
347,18,18-24,M,student,Beverly hills,California,Casino (1995),Drama,Robert De Niro|Joe Pesci|Sharon Stone|James Woods,Martin Scorsese,5,like,1997-12-09 07:55:56
659,31,25-34,M,educator,Unknown,Unknown,Quiz Show (1994),Drama,John Turturro|Paul Scofield|Ralph Fiennes|Rob Morrow,Robert Redford,4,like,1998-03-31 22:56:52
661,28,25-34,M,programmer,Seattle,Washington,Toy Story (1995),Animation|Children|Comedy,Jim Varney|Tim Allen|Tom Hanks|Don Rickles,John Lasseter,5,like,1997-10-05 01:55:45
320,19,18-24,M,student,Whitethorne,Virginia,Eye for an Eye (1996),Drama|Thriller,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle,John Schlesinger,3,dislike,1998-01-14 03:38:17
442,22,18-24,M,student,Tempe,Arizona,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis,Robert Rodriguez,4,like,1997-12-29 09:42:15
940,32,25-34,M,administrator,Boston,Massachusetts,"Sum of Us, The (1994)",Comedy,Jack Thompson|Russell Crowe|John Polson|Deborah Kennedy, Kevin Dowling|Geoff Burton,4,like,1998-01-27 17:13:18
216,22,18-24,M,engineer,Boston,Massachusetts,Clueless (1995),Comedy,Alicia Silverstone|Paul Rudd|Brittany Murphy|Stacey Dash,Amy Heckerling,3,dislike,1997-12-06 17:12:45
1,24,18-24,M,technician,Tucson,Arizona,"Santa Clause, The (1994)",Children|Comedy,Tim Allen|Wendy Crewson|Judge Reinhold|Eric Lloyd,John Pasquin,2,dislike,1997-11-03 07:46:36
886,20,18-24,M,student,Champaign,Illinois,"American President, The (1995)",Comedy|Drama|Romance,Martin Sheen|Michael J. Fox|Michael Douglas|Annette Bening,Rob Reiner,3,dislike,1997-10-05 06:17:05
218,37,35-44,M,administrator,East haven,Connecticut,Copycat (1995),Crime|Drama|Thriller,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara,Jon Amiel,3,dislike,1997-12-05 02:22:54
92,32,25-34,M,entertainment,Fort collins,Colorado,Kiss of Death (1995),Crime|Drama|Thriller,Nicolas Cage|David Caruso|Helen Hunt|Samuel L. Jackson,Barbet Schroeder,4,like,1997-10-02 17:19:01
45,29,25-34,M,programmer,Redfield,Iowa,Blue in the Face (1995),Comedy,Michael J. Fox|Mel Gorham|Roseanne Barr|Lou Reed,Wayne Wang|Paul Auster| Harvey Wang,4,like,1997-12-01 22:10:47
476,28,25-34,M,student,Bolingbrook,Illinois,Boomerang (1992),Comedy|Romance,Eddie Murphy|Halle Berry|Robin Givens|David Alan Grier,Reginald Hudlin,4,like,1997-12-29 03:17:22
298,44,35-44,M,executive,Westborough,Massachusetts,Sabrina (1954),Comedy|Romance,Julia Ormond|Harrison Ford|Nancy Marchand|Greg Kinnear,Sydney Pollack,3,dislike,1998-01-07 14:24:23
618,15,Under 18,F,student,Brunswick,Ohio,GoldenEye (1995),Action|Adventure|Thriller,Pierce Brosnan|Famke Janssen|Sean Bean|Izabella Scorupco,Martin Campbell,2,dislike,1998-03-31 01:51:31
455,48,45-54,M,administrator,Boise,Idaho,Toy Story (1995),Animation|Children|Comedy,Jim Varney|Tim Allen|Tom Hanks|Don Rickles,John Lasseter,4,like,1997-11-03 19:34:45
624,19,18-24,M,student,Marietta,Georgia,Beautiful Girls (1996),Drama,Annabeth Gish|Matt Dillon|Lauren Holly|Noah Emmerich,Ted Demme,4,like,1997-11-17 19:02:10
315,31,25-34,M,educator,East stroudsburg,Pennsylvania,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis,Robert Rodriguez,1,dislike,1997-11-18 02:43:23
